# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	27880	29725	-			AAW45231.1	chaperone regulator, putative			CNH03780	1193		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	27950	29712	-	AAW45231.1			chaperone regulator, putative			CNH03780	1110	369	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	29948	32622	+							CNH03770	2675		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	29948	32622	+			AAW45230.2	expressed protein			CNH03770	2492		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	29997	32495	+	AAW45230.2			expressed protein			CNH03770	2316	771	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	33763	35429	+							CNH03760	1667		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	33763	35429	+			AAW45229.1	UDP-galactose transporter, putative			CNH03760	1460		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	33934	35379	+	AAW45229.1			UDP-galactose transporter, putative			CNH03760	1239	412	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	35859	38633	+							CNH03750	2775		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	35859	38633	+			AAW45228.2	hypothetical protein			CNH03750	2502		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	35918	38623	+	AAW45228.2			hypothetical protein			CNH03750	2433	810	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	38844	44135	-							CNH03740	5292		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	38844	44135	-			AAW45227.1	catalase, putative			CNH03740	4634		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	38946	40859	-	AAW45227.1			catalase, putative			CNH03740	1497	498	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	42149	44173	+							CNH03730	2025		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	42149	44173	+			AAW45226.1	glucose-methanol-choline (GMC) oxidoreductase, putative			CNH03730	1912		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	42184	44063	+	AAW45226.1			glucose-methanol-choline (GMC) oxidoreductase, putative			CNH03730	1767	588	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	46387	48348	-							CNH03710	1962		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	46387	48348	-			AAW45271.2	hypothetical protein			CNH03710	1745		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	46705	47792	-	AAW45271.2			hypothetical protein			CNH03710	930	309	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	48671	51401	+							CNH03700	2731		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	48671	51401	+			AAW45225.1	glutamate decarboxylase, putative			CNH03700	1962		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	48880	51260	+	AAW45225.1			glutamate decarboxylase, putative			CNH03700	1674	557	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	51643	54335	+							CNH03690	2693		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	51643	54335	+			AAW45224.1	expressed protein			CNH03690	2365		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	51982	54244	+	AAW45224.1			expressed protein			CNH03690	1935	644	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	54549	57324	+							CNH03680	2776		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	54549	57324	+			AAW45223.1	hypothetical protein			CNH03680	2618		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	54621	57103	+	AAW45223.1			hypothetical protein			CNH03680	2325	774	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	57005	59845	-							CNH03670	2841		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	57005	59845	-			AAW45222.1	expressed protein			CNH03670	2395		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	57607	59738	-	AAW45222.1			expressed protein			CNH03670	1686	561	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	60244	62780	+							CNH03660	2537		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	60244	62780	+			AAW45221.1	alpha-amylase AmyA, putative			CNH03660	2209		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	60367	62515	+	AAW45221.1			alpha-amylase AmyA, putative			CNH03660	1821	606	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	62776	63663	-							CNH03650	888		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	62776	63663	-			AAW45220.2	hypothetical protein			CNH03650	617		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	62939	63455	-	AAW45220.2			hypothetical protein			CNH03650	246	81	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	64073	65561	-							CNH03640	1489		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	64073	65561	-			AAW45219.1	membrane protein, putative			CNH03640	1135		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	64250	65455	-	AAW45219.1			membrane protein, putative			CNH03640	852	283	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	66964	68084	+							CNH03630	1121		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	66964	68084	+			AAW45218.2	conserved hypothetical protein			CNH03630	385		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	67021	68044	+	AAW45218.2			conserved hypothetical protein			CNH03630	288	95	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	68164	69408	-							CNH03620	1245		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	68164	69408	-			AAW45217.2	hypothetical protein			CNH03620	815		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	68231	69332	-	AAW45217.2			hypothetical protein			CNH03620	672	223	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	69540	70721	+							CNH03610	1182		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	69540	70721	+			AAW45216.1	proteasome subunit alpha type 3, putative			CNH03610	913		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	69609	70648	+	AAW45216.1			proteasome subunit alpha type 3, putative			CNH03610	771	256	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	70964	73936	-							CNH03600	2973		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	70964	73936	-			AAW45215.2	pseudouridine synthase, putative			CNH03600	2663		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	70998	73911	-	AAW45215.2			pseudouridine synthase, putative			CNH03600	2604	867	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	74080	75440	+							CNH03590	1361		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	74080	75440	+			AAW45275.1	hypothetical protein			CNH03590	1047		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	74125	75326	+	AAW45275.1			hypothetical protein			CNH03590	888	295	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	75442	77983	-							CNH03580	2542		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	75442	77983	-			AAW45270.2	expressed protein			CNH03580	2183		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	75569	77916	-	AAW45270.2			expressed protein			CNH03580	1989	662	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	78284	79275	-							CNH03570	992		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	78284	79275	-			AAW45214.2	hypothetical protein			CNH03570	735		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	78407	79227	-	AAW45214.2			hypothetical protein			CNH03570	564	187	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	79446	83074	+							CNH03560	3629		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	79446	83074	+			AAW45213.1	hypothetical protein			CNH03560	3036		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	79937	82656	+	AAW45213.1			hypothetical protein			CNH03560	2184	727	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	82840	85721	-							CNH03550	2882		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	82840	85721	-			AAW45212.2	hypothetical protein			CNH03550	2581		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	83359	85711	-	AAW45212.2			hypothetical protein			CNH03550	2052	683	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	85839	89072	-							CNH03545	3234		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	85839	89072	-			ALO69500.1	hypothetical protein			CNH03545	3045		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	85888	88989	-	ALO69500.1			hypothetical protein			CNH03545	2913	970	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	89211	92847	+							CNH03540	3637		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	89211	92847	+			AAW45211.2	hypothetical protein			CNH03540	3170		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	91287	92205	+	AAW45211.2			hypothetical protein			CNH03540	834	277	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	93182	93289	-							CNH03530	108		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	93182	93289	-				tRNA-Lys			CNH03530	108		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	93410	96168	+							CNH03520	2759		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	93410	96168	+			AAW45210.1	histone deacetylase 1 (hd1), putative			CNH03520	2154		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	93597	96067	+	AAW45210.1			histone deacetylase 1 (hd1), putative			CNH03520	1866	621	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	97332	99805	+							CNH03510	2474		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	97332	99805	+			AAW45209.1	v-SNARE, putative			CNH03510	1803		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	97426	98459	+	AAW45209.1			v-SNARE, putative			CNH03510	363	120	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	99658	100798	-							CNH03500	1141		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	99658	100798	-			AAW45208.1	hypothetical protein			CNH03500	857		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	99846	100480	-	AAW45208.1			hypothetical protein			CNH03500	453	150	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	101925	103746	+							CNH03490	1822		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	101925	103746	+			AAW45207.1	expressed protein			CNH03490	1392		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	102285	103479	+	AAW45207.1			expressed protein			CNH03490	801	266	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	103670	107083	-							CNH03480	3414		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	103670	107083	-			AAW45269.1	ubiquitin-protein ligase, putative			CNH03480	3200		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	103826	106826	-	AAW45269.1			ubiquitin-protein ligase, putative			CNH03480	2787	928	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	107759	108818	+							CNH03475	1060		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	107759	108818	+			ALO69501.1	hypothetical protein			CNH03475	931		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	108341	108751	+	ALO69501.1			hypothetical protein			CNH03475	336	111	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	108993	113104	-							CNH03470	4112		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	108993	113104	-			AAW45268.1	protein transporter, putative			CNH03470	3433		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	109051	113047	-	AAW45268.1			protein transporter, putative			CNH03470	3318	1105	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	113248	114834	+							CNH03460	1587		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	113248	114834	+			AAW45206.1	coenzyme A transporter, putative			CNH03460	1317		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	113302	114717	+	AAW45206.1			coenzyme A transporter, putative			CNH03460	1146	381	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	116146	118163	-							CNH03450	2018		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	116146	118163	-			AAW45205.1	hypothetical protein			CNH03450	1846		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	116317	118120	-	AAW45205.1			hypothetical protein			CNH03450	1632	543	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	118346	119814	+							CNH03440	1469		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	118346	119814	+			AAW45204.2	hypothetical protein			CNH03440	1148		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	118412	119716	+	AAW45204.2			hypothetical protein			CNH03440	984	327	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	119815	120637	-							CNH03435	823		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	119815	120637	-			ALO69502.1	hypothetical protein			CNH03435	644		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	119820	120541	-	ALO69502.1			hypothetical protein			CNH03435	543	180	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	120760	121507	+							CNH03433	748		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	120760	121507	+			ALO69503.1	hypothetical protein			CNH03433	519		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	120848	121394	+	ALO69503.1			hypothetical protein			CNH03433	318	105	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	121544	123477	-							CNH03430	1934		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	121544	123477	-			AAW45203.2	hypothetical protein			CNH03430	1154		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	121696	123339	-	AAW45203.2			hypothetical protein			CNH03430	915	304	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	123647	127182	-							CNH03420	3536		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	123647	127182	-			AAW45267.2	hypothetical protein			CNH03420	3217		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	124309	126167	-	AAW45267.2			hypothetical protein			CNH03420	1680	559	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	127888	128818	+							CNH03415	931		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	127888	128818	+			ALO69504.1	hypothetical protein			CNH03415	873		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	128210	128471	+	ALO69504.1			hypothetical protein			CNH03415	204	67	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	128839	130881	-							CNH03410	2043		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	128839	130881	-			AAW45202.1	transcription cofactor, putative			CNH03410	1875		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	128997	130406	-	AAW45202.1			transcription cofactor, putative			CNH03410	1242	413	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	133048	137320	-							CNH03400	4273		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	133048	137320	-			AAW45266.2	hypothetical protein			CNH03400	3869		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	133180	137123	-	AAW45266.2			hypothetical protein			CNH03400	3540	1179	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	138639	141371	+							CNH03390	2733		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	138639	141371	+			AAW45200.1	alpha,alpha-trehalose-phosphate synthase (UDP-forming), putative			CNH03390	2251		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	138762	141247	+	AAW45200.1			alpha,alpha-trehalose-phosphate synthase (UDP-forming), putative			CNH03390	2004	667	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	141783	145371	+							CNH03380	3589		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	141783	145371	+			AAW45199.1	glycogenin glucosyltransferase, putative			CNH03380	3342		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	142002	144991	+	AAW45199.1			glycogenin glucosyltransferase, putative			CNH03380	2793	930	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	145810	148887	-							CNH03370	3078		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	145810	148887	-			AAW45198.2	ubiquitin-protein ligase, putative			CNH03370	2867		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	145821	148851	-	AAW45198.2			ubiquitin-protein ligase, putative			CNH03370	2820	939	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	149007	150307	-							CNH03365	1301		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	149007	150307	-			ALO69505.1	hypothetical protein			CNH03365	1238		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	149180	150295	-	ALO69505.1			hypothetical protein			CNH03365	1053	350	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	150486	152911	+							CNH03360	2426		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	150486	152911	+			AAW45197.1	metallochaperone, putative			CNH03360	2244		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	150508	152621	+	AAW45197.1			metallochaperone, putative			CNH03360	1932	643	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	153083	154190	-							CNH03350	1108		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	153083	154190	-			AAW45196.1	hypothetical protein			CNH03350	1017		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	153125	154085	-	AAW45196.1			hypothetical protein			CNH03350	870	289	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	155881	155952	+							CNH03340	72		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	155881	155952	+				tRNA-Gln			CNH03340	72		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	156061	160958	-							CNH03330	4898		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	156061	160958	-			AAW45265.2	hypothetical protein			CNH03330	4750		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	156228	160320	-	AAW45265.2			hypothetical protein			CNH03330	3945	1314	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	161416	162532	-							CNH03320	1117		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	161416	162532	-			AAW45195.2	hypothetical protein			CNH03320	1002		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	161416	162487	-	AAW45195.2			hypothetical protein			CNH03320	957	318	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	162835	165793	+							CNH03310	2959		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	162835	165793	+			AAW45194.2	hypothetical protein			CNH03310	2264		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	162941	165678	+	AAW45194.2			hypothetical protein			CNH03310	2043	680	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	165801	169781	-							CNH03300	3981		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	165801	169781	-			AAW45193.1	microtubule binding protein, putative			CNH03300	2920		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	165932	169077	-	AAW45193.1			microtubule binding protein, putative			CNH03300	2085	694	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	170428	173315	+							CNH03290	2888		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	170428	173315	+			AAW45192.2	conserved hypothetical protein			CNH03290	2170		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	170898	173154	+	AAW45192.2			conserved hypothetical protein			CNH03290	1539	512	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	173491	175907	-							CNH03280	2417		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	173491	175907	-			AAW45191.1	isocitrate lyase, putative			CNH03280	1865		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	173544	175745	-	AAW45191.1			isocitrate lyase, putative			CNH03280	1650	549	
gene	pseudogene	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	176107	179324	+							CNH03275	3218		pseudo
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	179674	182256	-							CNH03270	2583		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	179674	182256	-			AAW45190.2	hypothetical protein			CNH03270	2171		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	179842	182233	-	AAW45190.2			hypothetical protein			CNH03270	1980	659	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	182369	185506	-							CNH03260	3138		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	182369	185506	-			AAW45189.2	conserved hypothetical protein			CNH03260	2116		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	182474	185433	-	AAW45189.2			conserved hypothetical protein			CNH03260	1938	645	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	185626	190456	-							CNH03255	4831		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	185626	190456	-			ALO69506.1	hypothetical protein			CNH03255	4504		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	185736	190352	-	ALO69506.1			hypothetical protein			CNH03255	4290	1429	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	192112	194460	-							CNH03250	2349		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	192112	194460	-			AAW45188.1	hypothetical protein			CNH03250	1967		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	192538	194299	-	AAW45188.1			hypothetical protein			CNH03250	1380	459	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	194701	196130	+							CNH03240	1430		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	194701	196130	+			AAW45187.1	conserved hypothetical protein			CNH03240	1089		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	194703	195997	+	AAW45187.1			conserved hypothetical protein			CNH03240	954	317	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	196141	199565	-							CNH03230	3425		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	196141	199565	-			AAW45185.1	arsenite-resistant protein ASR2, putative			CNH03230	3119		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	196328	199461	-	AAW45185.1			arsenite-resistant protein ASR2, putative			CNH03230	2895	964	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	200117	202288	-							CNH03220	2172		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	200117	202288	-			AAW45184.1	conserved hypothetical protein			CNH03220	1634		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	200389	202138	-	AAW45184.1			conserved hypothetical protein			CNH03220	1212	403	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	203633	209557	+							CNH03200	5925		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	203633	209557	+			AAW45182.2	expressed protein			CNH03200	4538		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	204439	209369	+	AAW45182.2			expressed protein			CNH03200	3942	1313	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	209587	211648	-							CNH03190	2062		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	209587	211648	-			AAW45181.2	ARF GTPase activator, putative			CNH03190	1687		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	209759	211573	-	AAW45181.2			ARF GTPase activator, putative			CNH03190	1440	479	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	212095	214548	-							CNH03180	2454		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	212095	214548	-			AAW45180.2	conserved hypothetical protein			CNH03180	1894		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	212258	214113	-	AAW45180.2			conserved hypothetical protein			CNH03180	1296	431	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	216336	217978	+							CNH03170	1643		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	8	AE017348.1	216336	217978	+			AAW45179.1	Inositol oxygenase, putative			CNH03170	1417		
